"Date","Open","High","Low","Close","Volume","MarketCap"
2018-10-24,1.28,1.29,1.28,1.29,2415150,74755791
2018-10-25,1.29,1.29,1.27,1.29,2886290,74862476
2018-10-26,1.29,1.29,1.27,1.29,2284270,75163006
2018-10-27,1.29,1.31,1.29,1.3,1583300,75756337
2018-10-28,1.3,1.32,1.3,1.32,2460680,76856962
2018-10-29,1.32,1.32,1.28,1.29,2772830,75559928
2018-10-30,1.29,1.3,1.29,1.3,1752950,75976337
2018-10-31,1.3,1.31,1.29,1.31,2367930,76410450
2018-11-01,1.31,1.43,1.31,1.33,2085100,78400189
2018-11-02,1.33,1.34,1.32,1.32,1299400,77738543
2018-11-03,1.32,1.33,1.28,1.31,1508020,77422681
2018-11-04,1.31,1.38,1.28,1.35,2608630,79172267
2018-11-05,1.35,1.37,1.35,1.36,1727210,89476099
2018-11-06,1.36,1.41,1.36,1.41,5048160,92070307
2018-11-07,1.41,1.42,1.39,1.4,2536400,91717586
2018-11-08,1.4,1.41,1.36,1.36,2417080,88872537
2018-11-09,1.35,1.36,1.32,1.33,2266120,86899082
2018-11-10,1.33,1.35,1.33,1.35,1552410,88024679
2018-11-11,1.35,1.35,1.31,1.33,1321790,86990309
2018-11-12,1.33,1.34,1.3,1.31,2374000,85689154
2018-11-13,1.31,1.32,1.28,1.28,1815690,83583219
2018-11-14,1.28,1.28,1.05,1.1,3123250,71393896
2018-11-15,1.1,1.11,1.02,1.08,2108120,70324920
2018-11-16,1.08,1.09,1.04,1.05,1894660,68274215
2018-11-17,1.05,1.05,1.03,1.04,1204150,67418359
2018-11-18,1.04,1.07,1.04,1.06,988022,69051874
2018-11-19,1.06,1.06,0.872786,0.885861,2444690,50396461
2018-11-20,0.883508,0.898172,0.739668,0.759405,3024470,43202404
2018-11-21,0.764191,0.845397,0.734809,0.823056,3329160,46823497
2018-11-22,0.821955,0.830745,0.750687,0.754085,2372740,42899750
2018-11-23,0.749455,0.761454,0.710005,0.729024,2291190,41474035
2018-11-24,0.728038,0.748299,0.659547,0.674125,1578110,38350841
2018-11-25,0.671797,0.697798,0.601735,0.684809,2718570,38958652
2018-11-26,0.683118,0.69476,0.620292,0.637788,2904840,36283636
2018-11-27,0.636794,0.654881,0.610004,0.649138,1848480,37852699
2018-11-28,0.64999,0.742781,0.64999,0.724006,2694000,42238423
2018-11-29,0.724866,0.73476,0.680652,0.69442,2513687,40543687
2018-11-30,0.698258,0.70725,0.657084,0.666899,1627526,38915587
2018-12-01,0.669077,0.718247,0.662603,0.705042,1543149,41158118
2018-12-02,0.702358,0.718436,0.68681,0.694907,1273339,40587761
2018-12-03,0.69516,0.696621,0.647981,0.657965,1837472,38519788
2018-12-04,0.65762,0.686954,0.640906,0.670166,2401778,41166878
2018-12-05,0.670571,0.673397,0.6139,0.6139,1941191,37649560
2018-12-06,0.613041,0.623455,0.544687,0.544687,1552152,33364429
2018-12-07,0.544285,0.561836,0.497109,0.546003,2081409,33348268
2018-12-08,0.546962,0.564663,0.510837,0.53982,976350,32988768
2018-12-09,0.538297,0.576499,0.53685,0.556812,1018328,34036107
2018-12-10,0.55671,0.563802,0.5321,0.537124,1107525,32821550
2018-12-11,0.537155,0.539517,0.50719,0.52298,1054408,31896527
2018-12-12,0.52247,0.533949,0.513162,0.525113,831434,31989236
2018-12-13,0.525578,0.527667,0.49207,0.496077,771954,30172726
2018-12-14,0.495963,0.50038,0.476169,0.479959,741761,29135595
2018-12-15,0.479359,0.486917,0.462136,0.467916,993770,28374482
2018-12-16,0.467709,0.48677,0.466849,0.476366,680765,30173739
2018-12-17,0.475493,0.525469,0.47447,0.515,1184155,32522270
2018-12-18,0.514702,0.543169,0.503186,0.541328,978795,34137846
2018-12-19,0.543251,0.576766,0.536858,0.542424,1219081,34159009
2018-12-20,0.53948,0.608544,0.535565,0.601845,1704230,37816835
2018-12-21,0.601422,0.614945,0.548469,0.556703,1725198,34885510
2018-12-22,0.556061,0.590469,0.549988,0.590469,1263143,36982260
2018-12-23,0.590264,0.651378,0.590264,0.638438,1969123,39796006
2018-12-24,0.639378,0.743643,0.639378,0.671165,2784431,41730913
2018-12-25,0.673761,0.673761,0.596063,0.616691,1292251,38293898
2018-12-26,0.61845,0.647711,0.603883,0.625445,1058304,38835298
2018-12-27,0.627599,0.629782,0.559839,0.563221,864619,35021892
2018-12-28,0.563116,0.655523,0.560087,0.651128,1325997,40400028
2018-12-29,0.648105,0.696837,0.642425,0.664671,1092492,41174863
2018-12-30,0.646822,0.671255,0.636159,0.646292,611129,40022477
2018-12-31,0.650273,0.650273,0.622199,0.624283,781914,38639091
2019-01-01,0.623669,0.653004,0.620921,0.650842,726626,40254635
2019-01-02,0.65272,0.706732,0.648294,0.701499,1033364,43290203
2019-01-03,0.701256,0.70426,0.666618,0.67279,837642,41481415
2019-01-04,0.672685,0.696835,0.666321,0.689961,1006410,42503851
2019-01-05,0.689378,0.718381,0.688949,0.698831,857389,43036647
2019-01-06,0.695589,0.788581,0.684064,0.702547,2392241,43304547
2019-01-07,0.704585,0.711564,0.682652,0.684739,1015949,42199234
2019-01-08,0.685121,0.694836,0.674314,0.674858,1035057,41583906
2019-01-09,0.676254,0.695389,0.672547,0.678107,968096,41803346
2019-01-10,0.677645,0.681953,0.575513,0.584016,1506970,36149722
2019-01-11,0.581659,0.590803,0.572525,0.582262,911276,36058115
2019-01-12,0.58288,0.589784,0.572209,0.573673,557671,35529071
2019-01-13,0.573434,0.58021,0.532682,0.53477,1058588,33168197
2019-01-14,0.535777,0.590841,0.534775,0.583157,950695,36087518
2019-01-15,0.582895,0.588272,0.549405,0.554628,591009,34356114
2019-01-16,0.553118,0.577771,0.552391,0.567486,1406536,35176980
2019-01-17,0.566885,0.573836,0.559284,0.572619,1252051,35706050
2019-01-18,0.572559,0.575609,0.555087,0.560718,976084,34963323
2019-01-19,0.562693,0.582505,0.559937,0.573065,988830,35749348
2019-01-20,0.572842,0.57599,0.547706,0.552227,855933,34451956
2019-01-21,0.552167,0.553341,0.538963,0.542522,870868,33835789
2019-01-22,0.541983,0.548514,0.527582,0.542968,1871983,33841820
2019-01-23,0.542693,0.548089,0.529549,0.534056,981139,33279336
2019-01-24,0.533791,0.539668,0.530737,0.537546,1009004,34030264
2019-01-25,0.538327,0.540367,0.533212,0.5388,1127304,34155587
2019-01-26,0.538163,0.780269,0.535537,0.582497,8246897,37317178
2019-01-27,0.580929,0.583385,0.542802,0.542802,3666397,34597263
2019-01-28,0.54402,0.54402,0.478296,0.493724,1919120,31301714
2019-01-29,0.493921,0.495743,0.477801,0.484218,1313566,30677438
2019-01-30,0.483293,0.501463,0.480905,0.496585,1252481,31428378
2019-01-31,0.496493,0.502461,0.479132,0.480836,1272246,30343109
2019-02-01,0.480992,0.490955,0.473916,0.483793,913087,30541063
2019-02-02,0.482221,0.491545,0.478228,0.490972,677906,30965144
2019-02-03,0.489504,0.491034,0.475185,0.47949,698413,30236805
2019-02-04,0.477972,0.480986,0.472539,0.47284,646950,29780858
2019-02-05,0.472939,0.473418,0.467455,0.46951,1076030,29552280
2019-02-06,0.469202,0.46938,0.452183,0.461825,1590750,29085507
2019-02-07,0.46113,0.464532,0.457286,0.457828,1338867,28831150
2019-02-08,0.458184,0.526909,0.455754,0.517644,4046162,32558873
2019-02-09,0.517853,0.520598,0.510269,0.515094,2386457,32361591
2019-02-10,0.514932,0.531324,0.507323,0.530847,1694537,33303062
2019-02-11,0.531103,0.531103,0.513027,0.515416,1727871,32318877
2019-02-12,0.514478,0.526884,0.507675,0.517874,1456071,32443527
2019-02-13,0.519273,0.529112,0.510405,0.513635,915553,32175737
2019-02-14,0.512967,0.520228,0.5082,0.508524,1605586,31828989
2019-02-15,0.508415,0.522554,0.507201,0.51389,1723719,32159038
2019-02-16,0.514269,0.519253,0.512032,0.516211,1113858,32286345
2019-02-17,0.516165,0.550783,0.513425,0.546949,1352627,34090017
2019-02-18,0.545502,0.599419,0.544509,0.584607,2407372,36359533
2019-02-19,0.585436,0.597272,0.573831,0.575107,1943781,35705974
2019-02-20,0.575368,0.58704,0.560925,0.570656,2235797,35441525
2019-02-21,0.570105,0.570105,0.547644,0.551813,1701286,34104956
2019-02-22,0.551682,0.564805,0.55098,0.563647,1863585,34807572
2019-02-23,0.563361,0.592332,0.555539,0.589589,2197875,36410108
2019-02-24,0.588892,0.61171,0.514785,0.515372,1918382,31783282
2019-02-25,0.510357,0.536698,0.510357,0.529315,2381667,32567521
2019-02-26,0.527134,0.532074,0.518533,0.527575,2300993,32493647
2019-02-27,0.52869,0.538285,0.505053,0.52107,2060369,32125165
2019-02-28,0.52041,0.533418,0.516808,0.521254,2492177,32142245
2019-03-01,0.517692,0.532849,0.517692,0.524757,1793260,32430086
2019-03-02,0.523192,0.529126,0.513099,0.52624,1767089,33062345
2019-03-03,0.526106,0.530348,0.511599,0.514453,1653160,32321823
2019-03-04,0.514049,0.516775,0.487317,0.497329,1594271,31245930
2019-03-05,0.498736,0.530143,0.493409,0.527685,2013953,33153132
2019-03-06,0.528051,0.535117,0.521495,0.5308,1469553,33348874
2019-03-07,0.531217,0.540573,0.530595,0.534527,1877482,33582988
2019-03-08,0.535188,0.650231,0.529963,0.632013,7550121,39707819
2019-03-09,0.632337,0.760715,0.626421,0.727244,30408481,45690960
2019-03-10,0.726422,0.737056,0.641795,0.648708,9547147,40756730
2019-03-11,0.649074,0.649074,0.586345,0.590453,4090405,37096734
2019-03-12,0.591109,0.622811,0.577668,0.61018,4024467,38336088
2019-03-13,0.612213,0.612213,0.592941,0.593794,2265189,38246517
